leftArmpitAngle,rightArmpitAngle,leftShoulderAngle,rightShoulderAngle,leftElbowAngle,rightElbowAngle,leftHipAngle,rightHipAngle,leftGroinAngle,rightGroinAngle,leftKneeAngle,rightKneeAngle,slope,verticalPose,ratioAvg,action
44.34,35.04,44.34,35.04,168.06,172.16,80.11,102.18,80.11,102.18,172.76,172.76,1.1696478495163958,-1000,1.8782398507606817,pushup
43.85,36.52,43.85,36.52,168.87,174.72,84.98,96.68,84.98,96.68,179.09,174.38,1.1209472904223945,-1000,1.7636515019296555,pushup
43.99,35.78,43.99,35.78,172.53,170.79,82.44,102.91,82.44,102.91,171.34,177.81,0.25171612458720743,-1000,1.763927059323549,pushup
44.83,29.9,44.83,29.9,175.13,171.39,55.55,140.11,55.55,140.11,166.91,174.65,0.3109803085866766,-1000,1.3600602051338497,pushup
43.34,37.73,43.34,37.73,175.59,174.21,84.56,102.79,84.56,102.79,162.03,168.55,0.3410989263924467,-1000,1.731847807213913,pushup
45.15,30.67,45.15,30.67,165.59,168.93,53.92,136.97,53.92,136.97,161.97,176.33,0.4547527118009499,-1000,1.4419531314109528,pushup
41.41,53.15,41.41,53.15,177.45,166.23,87.41,92.76,87.41,92.76,168.8,173.81,1.0912172269644074,-1000,1.2139848282000671,pushup
44.99,52.54,44.99,52.54,163.78,171.56,103.04,77.36,103.04,77.36,176.51,164.54,1.1101258513792884,-1000,1.3618450936312059,pushup
47.53,44,47.53,44,177.51,179.64,106.59,81.5,106.59,81.5,75.22,155.11,0.698558930813808,-1000,1.2906609410954752,pushup
49.23,44.06,49.23,44.06,179.78,174.12,114.72,75.01,114.72,75.01,173.19,175.09,0.9171979783015565,-1000,0.9514633782307338,pushup
50.99,45.07,50.99,45.07,163.15,172.35,131.12,63.3,131.12,63.3,90.48,178.05,0.8850754766443993,-1000,1.101100563924907,pushup
49.23,40.52,49.23,40.52,170.61,166.52,92.43,91.64,92.43,91.64,165.8,174.13,0.8603486125263324,-1000,1.1719788611839335,pushup
46.01,41.81,46.01,41.81,159.5,161.9,129.82,53.68,129.82,53.68,178.81,150.54,0.8920592998624317,-1000,1.009881563693287,pushup
48.28,46.54,48.28,46.54,155.76,170.24,133.73,54.88,133.73,54.88,177.16,159.4,0.9467915833274195,-1000,1.14668283313242,pushup
38.72,37.64,38.72,37.64,143.07,167.24,91.22,103.09,91.22,103.09,141.64,159.58,0.9777896507706565,-1000,1.8105376997195224,pushup
44.14,33.21,44.14,33.21,138.97,143.45,103.92,94.02,103.92,94.02,155.06,147.24,0.9908631862890225,-1000,1.6828342605934596,pushup
29.38,25.51,29.38,25.51,153.59,137.93,91.54,71.51,91.54,71.51,133.77,142.97,0.8191518717585408,-1000,1.0685637851314351,pushup
35.71,35.73,35.71,35.73,152.68,166.48,106.63,76.72,106.63,76.72,84.25,154.38,0.9468954114720428,-1000,1.1378937942288418,pushup
32.14,34.71,32.14,34.71,164.48,164.65,92.53,78.19,92.53,78.19,163.6,166.16,0.8889462390218751,-1000,1.205555900194549,pushup
44.61,37.11,44.61,37.11,178.96,179.45,114.36,80.75,114.36,80.75,161.06,166.53,1.0135530781950792,-1000,1.371925701484384,pushup
42.53,41.07,42.53,41.07,166.24,173.97,78.26,103.57,78.26,103.57,161.79,141.02,0.9701208509480281,-1000,1.5487404504012416,pushup
47.22,41.55,47.22,41.55,174.16,177.18,101.72,87.1,101.72,87.1,157.89,135.75,0.9180376653202873,-1000,1.4009590311621394,pushup
49.24,45.16,49.24,45.16,170.05,175.41,96.22,88.98,96.22,88.98,154.14,139.25,0.8708382376400886,-1000,1.5067099859574147,pushup
46.2,40.11,46.2,40.11,175.57,178.42,97.25,91.49,97.25,91.49,160.92,166.36,1.1302691302946282,-1000,1.9223392029018793,pushup
41.65,43.01,41.65,43.01,159.83,179.27,91.17,93.39,91.17,93.39,178.57,163.53,1.152160053346194,-1000,1.3675955382886302,pushup
42.95,44.93,42.95,44.93,158.13,175.06,103.78,84.31,103.78,84.31,170.4,172.3,1.153874745812324,-1000,1.1753234013479807,pushup
45.31,43.43,45.31,43.43,178.49,177.09,101.69,84.75,101.69,84.75,178.65,172.37,0.6314184569599585,-1000,1.1230050029871168,pushup
48.37,43.75,48.37,43.75,166.08,177.53,115.5,74.99,115.5,74.99,169.05,152.72,1.1763845363303027,-1000,1.042027116545552,pushup
47.59,45.27,47.59,45.27,177.63,174.15,116.96,70.46,116.96,70.46,174.23,151.83,1.1749553113370632,-1000,1.0558604414438673,pushup
39.27,42,39.27,42,160.42,175.69,97.68,90.64,97.68,90.64,92.35,173.14,0.9712351671733513,-1000,1.396301094844524,pushup
25.1,40.91,25.1,40.91,152.4,169.98,99.29,78.25,99.29,78.25,100.28,171.52,0.9060708667158666,-1000,1.3104700451404665,pushup
41.38,36.35,41.38,36.35,164.09,163.51,100.83,78.5,100.83,78.5,80.23,161.53,0.9015489105018379,-1000,1.2587699701907415,pushup
47.84,40.04,47.84,40.04,174.1,159.76,95.12,74.01,95.12,74.01,77.1,155.1,0.8481243173459071,-1000,1.3402691746993045,pushup
47.2,41.91,47.2,41.91,151.3,168.11,136.24,55.39,136.24,55.39,169.78,155.16,0.9795626732861366,-1000,1.1327114846363728,pushup
45.2,41.01,45.2,41.01,139.34,167.97,142.53,58.99,142.53,58.99,151.1,158.03,0.9857522167735456,-1000,1.1664027565773036,pushup
36,28.31,36,28.31,152.54,143.33,79.51,98.92,79.51,98.92,170.79,152.86,0.8443292008345713,-1000,1.942092626731004,pushup
32.54,28.17,32.54,28.17,141.5,146.48,90.32,102.46,90.32,102.46,157.05,133.69,0.9969382416950936,-1000,2.5104127358458186,pushup
55.11,22.71,55.11,22.71,168.37,129.41,115.28,65.52,115.28,65.52,134.43,133.42,0.7074360469842412,-1000,1.581815037537397,pushup
52.42,24.83,52.42,24.83,166.23,128.7,107.71,64.7,107.71,64.7,120.94,131.06,0.6730618092386954,-1000,1.2899986072497776,pushup
38.04,42.44,38.04,42.44,166.2,161.45,101.25,68.05,101.25,68.05,80.58,176.14,0.8369527658776674,-1000,1.1565308218033383,pushup
49.38,39.44,49.38,39.44,159.87,166.52,123.46,75.12,123.46,75.12,82.12,174.01,0.8813162226676251,-1000,1.0220853269554442,pushup
45.98,45.3,45.98,45.3,168.33,174.79,94.34,93.96,94.34,93.96,169.59,165.86,1.0921298263000692,-1000,1.4588933233653707,pushup
41.15,33.71,41.15,33.71,3.62,2.91,98.9,69.91,98.9,69.91,168.94,159.9,5.556895600273629,1000,1.2739902557622156,pulljerk
38.94,32.4,38.94,32.4,0.99,0.44,84.08,86.05,84.08,86.05,179.06,161.31,1.9271214979962115,1000,1.2163902647708862,pulljerk
39.65,33.01,39.65,33.01,4.27,4.8,93.35,74.17,93.35,74.17,173.1,162.94,6.226609454768889,1000,1.2323003804879828,pulljerk
40.23,33.15,40.23,33.15,0.4,0.51,85.07,84.98,85.07,84.98,177.65,173.03,1.9562312061476774,1000,1.2334250262562299,pulljerk
32.18,33.73,32.18,33.73,4.27,2.77,98.23,70.45,98.23,70.45,168.82,160.28,5.532783633756431,1000,1.2778552426623984,pulljerk
38.7,32.86,38.7,32.86,0.56,0.81,84.33,85.99,84.33,85.99,179.3,161.39,1.9195368006216715,1000,1.2198946613970292,pulljerk
37.68,33.79,37.68,33.79,5.31,11.87,84.05,82.69,84.05,82.69,149.41,156.65,2.659932715294613,1000,1.2676708100412175,pulljerk
39.81,32.72,39.81,32.72,0.56,1.24,85.3,85.31,85.3,85.31,177.96,172.97,1.9827359225690027,1000,1.234139516768817,pulljerk
40.57,32.46,40.57,32.46,3,1.11,98.03,70.79,98.03,70.79,167.87,160.75,5.482961695021396,1000,1.2759377088415071,pulljerk
38.65,32.79,38.65,32.79,0.21,2.21,84.38,86.14,84.38,86.14,179.2,161.58,1.9239799998940672,1000,1.2170677390787885,pulljerk
34.57,36.06,34.57,36.06,0.87,0.29,83.35,85.96,83.35,85.96,159.46,156.73,1.6456182577675138,1000,1.2398266049140552,pulljerk
39.26,32.91,39.26,32.91,0.31,1.61,85.54,85.51,85.54,85.51,177.91,173.56,1.9861259184949895,1000,1.234052410739908,pulljerk
40.95,32.64,40.95,32.64,4.02,0.12,98.9,70.31,98.9,70.31,168.11,160.45,5.483859670824543,1000,1.2762963085662684,pulljerk
39.07,32.07,39.07,32.07,0.69,2.78,84.25,86.37,84.25,86.37,179.31,161.8,1.9299039427227538,1000,1.218561016005677,pulljerk
30.38,21.73,30.38,21.73,6.9,0.1,83.15,87.1,83.15,87.1,153.81,174.26,1.4802128928832277,1000,1.2741669869433407,pulljerk
39.62,33.12,39.62,33.12,0.12,1.93,85.84,85.05,85.84,85.05,178.04,173.96,1.9666718578605953,1000,1.2252917563478618,pulljerk
39.07,36.54,39.07,36.54,2.11,0.55,84.53,85.52,84.53,85.52,162.95,161.8,11.411383205925711,1000,1.3444888314081647,pulljerk
39.23,32.33,39.23,32.33,0.35,3.62,84.67,86.36,84.67,86.36,179.39,161.84,1.9419748517010615,1000,1.2141917957510397,pulljerk
30.48,20.59,30.48,20.59,0.52,6.76,82.58,87.64,82.58,87.64,167.23,157.72,2.2661228153726465,1000,1.2780993048487943,pulljerk
39.69,32.91,39.69,32.91,0.01,1.37,86.26,84.76,86.26,84.76,178.11,173.58,1.9604326613460663,1000,1.2213421747325761,pulljerk
